Author,Quote,Topic,Tags
E,A pencil is an extension of a finger writing in the sand. But our electronic media are extensions of our brains.,,
F,A penis has never been something that you pick up and put down and put away idly without consideration.,,
A,a penny for my thoughts oh no i'll sell em for a dollar their worth so much more after im a goner and then maybe you'll hear the words ive been singing funny when your dead how people start listening,,
B,"A penny for my thoughts, oh no, I'll sell them for a dollar They're worth so much more after I'm a goner And maybe then you'll hear the words I been singin' Funny when you're dead how people start listenin",,
C,A Penny Saved is a Penny Earned,,
D,A penny saved is worth two pennies earnedafter taxes. ,,
A,"A people are as healthy and confident as the stories they tell themselves. Sick storytellers can make nations sick. Without stories we would go mad. Life would lose it's moorings or orientation... Stories can conquer fear, you know. They can make the heart larger.",,
B,"A person may cause evil to others not only by his actions but by his inactions, and in either case he is justly accountable to them for the injury",,
C,A people free to choose will always choose peace. ,,
D,"A people that has remained convinced of its greatness and invulnerability, that has chosen to believe such a myth in the face of all the evidence, is a people in the grip of a kind of sleep, or madness. ",,
E,A people that values its privileges above its principles soon loses both.,,
F,"A people without the knowledge of their past history, origin and culture is like a tree without roots.",,
A,"A people, like stars, are entitled to eclipse. All is well, provided the light returns and the eclipse does not become endless night. Dawn and resurrection are synonymous. The reappearance of the light is the same as the survival of the soul.",,
B,"A percentage! What splendid words they have; they are so scientific, so consolatory.... Once you've said 'percentage' there's nothing more to worry about. If we had any other word... maybe we might feel more uneasy....",,
C,"A perceptive French critic has argued that in an age of deepening illiteracy, when even the educated have only a smattering of classical or theological knowledge, erudition is of itself a kind of fantasy, a surrealistic construct.",,
D,"A perennial guest star is like being a foster kid who's passed around some really great foster homes. I would love for one of them to keep me, but it's a hell of a lot better than being abandoned.",,
E,"A perfect faith is nowhere to be found, so it follows that all of us are partly unbelievers.",,
F,"A perfect person is easy to love. But when somebody likes all your imperfections, well, that's when you know they really mean it.",,
A,"A perfect summer day is when the sun is shining, the breeze is blowing, the birds are singing, and the lawn mower is broken.",,
B,"A perfect writer would make words sing, dance, kiss, do the male and female act, bear children, weep, bleed, rage, stab, steal, fire cannon, steer ships, sack cities, charge with cavalry or infantry, or do anything that man or woman or the natural powers can do.",,
C,"A perfection of means, and confusion of aims, seems to be our main problem.",,
D,A perfectionist's greatest fault resides in her inability to achieve the impossible.,,
E,A perfectly evil Devil makes even less sense than a perfect God.,,
F,"A perfectly healthy sentence, it is true, is extremely rare. For the most part we miss the hue and fragrance of the thought; as if we could be satisfied with the dews of the morning or evening without their colors, or the heavens without their azure.",,
A,A perfectly normal person is rare in our civilization.,,
B,A perfectly placed word is like apples of gold in pictures of silver.,,
C,A perfectly tuned conversation is a vision of sanity--a ratification of one's way of being human and one's way in the world.,,
D,A person acts according to the knowledge internalized in his heart.,,
A,A person all wrapped up in themselves makes for a mighty small package.,,
B,A person buying ordinary products in a supermarket is in touch with his deepest emotions.,,
C,"A person can destroy me with two words. It can just be the way they say them, the inflection.",,
D,A person can do incredible things if he or she has enough hope.,,
E,"A person can do other things against his will, but belief is possible only in one who is willing. ",,
F,a person can get used to anything if given enough time,,
A,A person can go along quite awhile if they get a good day every once and again.,,
B,"A person can live a little bit broken... Most of us do, I guess.",,
C,"A person can only move forward, she thinks. A person should only move forward.",,
D,"A person can perform only from strength. One cannot build performance on weakness, let alone on something one cannot do at all.",,
E,A person can succeed at almost anything for which they have unlimited enthusiasm.,,
F,A person can't change all at once.,,
A,A person can't help their birth. ,,
B,"A person comes into the world with a fist-and a grasp. Yes, we are built to fight one another, but also to embrace. How cleverly we are created.",,
C,A person content to be bland will never be anyone's first choice as a companion for an idle afternoon.,,
D,"A person could leave you so quickly. So much history and time and memories, but they snuck away from you, and other things took their place. How could you hold on? Wait. A bigger question. The biggest. How could you hold on andlet go?",,
E,A person could see a lot without ever leaving his own living room. Especially if he had the right tools.,,
F,"A person cries out in life because it's lonely and because life's been broken off from whatever created it. But no matter how much you hate life, you love it too. It's like a caldron boiling with everything you have to have, but very painful to the lips.",,
A,"A person desperately searching for love,"" Merlin said, ""reminds me of a fish desperately searching for water.",,
B,A person doesn't ask permission to fall in love; not even of themselves.,,
C,A person doesn't have to change who he is to become better.,,
D,A person doesn't know true hurt and suffering until they've felt the pain of falling in love with someone whose affections lie elsewhere.,,
A,A person entranced by a book simply forgets to breathe. The house can catch alight and a reader deep in a book will not look up until the wallpaper is in flames.,,
B,A person has an idea about foreign policy or doesn't know one's arse from one's elbow.,,
C,"A person has to be strong in life. A person must practice strength, even if they don't feel it.",,
D,a person has to go through a lot of pain to get to comfort!,,
E,A person hears only what they understand.,,
F,a person hoping to become a poet must have the capacity of thinking of several things at a time.,,
A,"A person incapable of imaging another world than given to him by his senses would be subhuman, and a person who identifies his imaginary world with the world of sensory fact has become insane.",,
B,"A person is a fool to become a writer. His only compensation is absolute freedom. He has no master except his own soul, and that, I am sure, is why he does it",,
C,A person is a person through other persons; you can't be human in isolation; you are human only in relationships.,,
D,"A person is born with feelings of envy and hate. If he gives way to them, they will lead him to violence and crime, and any sense of loyalty and good faith will be abandoned.",,
E,A person is limited only by the thoughts that he chooses.,,
F,A person is limited only by the thoughts that he chooses.- James Allen,,
A,a person is never entirely holy or entirely sinful.,,
B,A person is never happy except at the price of some ignorance.,,
C,A person is not really gone until everyone who knew them is gone.,,
D,A person is the product of their dreams. So make sure to dream great dreams. And then try to live your dream.,,
E,"A person is, among all else, a material thing, easily torn and not easily mended.",,
F,A person isn't a bird. You can't cage a person.,,
A,A person isn't who they are during the last conversation you had with them - they're who they've been throughout your whole relationship.,,
B,"A person knows when they're in darkness, even when they can't see. - Nightblood",,
C,A person learns how to love himself through the simple acts of loving and being loved by someone else.,,
D,"A person less fortunate than yourself deserves the best you can give. Because of duty, and honor, and service. You understand those words? You should do your job right, and you should do it well, simply because you can, without looking for notice or reward.",,
A,A person may be a moron or an imbecile if he is lacking in judgment; but with good judgment he can never be either. Indeed the rest of the intellectual faculties seem of little importance in comparison with judgment.,,
B,"A person may be proud without being vain. Pride relates more to our opinion of ourselves, vanity to what we would have others think of us.",,
C,"A person may cause evil to others not only by his actions but by his inaction, and in either case he is justly accountable to them for the injury.",,
D,"A person that started in to carry a cat home by the tail was getting knowledge that was always going to be useful to him, and warn't ever going to grow dim or doubtful.",,
E,A person may paint or talk about painting but he cannot do both at the same time.,,
F,"A person needs new experiences. They jar something deep inside, allowing you to grow. Without them, it sleeps- seldom to awaken. The sleeper must awaken. ",,
A,"A person never knows their own true face. Everybody thinks that the phoney, posed social mask they wear is their real face.",,
B,A person obsessed with ultimate truth is a person asking to be relieved of money.,,
C,A person of little knowledge Grows old as a plough-ox grows old. His fleshes increases; His wisdom does not increase.,,
D,A person often meets his destiny on the road he took to avoid it.,,
E,"A person probably couldn't live without pride. But living by pride, alone the prospects were too dark. Way too dark.",,
F,A person reveals his character by nothing so clearly as the joke he resents.,,
A,"A person seldom falls sick, but the bystanders are animated with a faint hope that he will die.",,
B,A person should always think before they speak...especially words that will hurt & destroy. Once you have spewed words of harm out into the universe...you can never retrieve them. Always try to use your words to better brighten humanity...not to further darken it.,,
C,"A person should set his goals as early as he can and devote all his energy and talent to getting there. With enough effort, he may achieve it. Or he may find something that is even more rewarding. But in the end, no matter what the outcome, he will know he has been alive.",,
D,A person should try to understand dreams. A person should take warning from them.,,
E,A person starts to live when he can live outside himself.,,
F,"A person susceptible to ""wanderlust"" is not so much addicted to movement as committed to transformation.",,
A,A person that has more intelligence than education always makes his own grade!,,
B,A person with taste is merely one who can recognize the greatest beauty in the simplest things.,,
C,A person today who seems to have a great sense of self-esteem has his or her childhood days to thank for it.,,
D,"A person usually has two reasons for doing something, a good reason and the real reason.",,
A,"A person walks into a room and says hello, and your life takes a course for which you are not prepared. It's a tiny moment (almost-but not quite-unremarkable), the beginning of a hundred thousand tiny moments and some larger ones.",,
B,"A person who believes, as she did, that things fit: that there is a whole of which one is a part, and that in being a part one is whole: such a person has no desire whatever, at any time, to play God. Only those who have denied their being yearn to play at it.",,
C,"A person who can write a long letter with ease, cannot write ill.",,
D,A person who cannot imagine the future is a person who cannot contemplate the results of his actions. Some are thus paralyzed into inaction.,,
E,A person who deserves my loyalty receives it.,,
F,"A person who discreetly farts in an elevator is not a divine being, and a man needs to know this.",,
A,"A person who does not know the history of the last 3,000 years wanders in the darkness of ignorance, unable to make sense of the reality around him",,
B,A person who does not read is no better than one cannot read.,,
C,"A person who doesn't learn from the past is an idiot, in my estimation.",,
D,A person who doubts himself is like a man who would enlist in the ranks of his enemies and bear arms against himself.,,
E,A person who doubts himself is like a man who would enlist in the ranks of his enemies and bear arms against himself. He makes his failures certain by himself being the first person to be convinced of it.,,
F,A person who gossips & talks too much may not suffer from Bipolar Disorder but may suffer from Verbal Diarrhea.:),,
A,"A person who has good thoughts cannot ever be ugly. You can have a wonky nose and a crooked mouth and a double chin and stick-out teeth, but if you have good thoughts they will shine out of your face like sunbeams and you will always look lovely.",,
B,"A person who has not done one half his day's work by ten o'clock, runs a chance of leaving the other half undone.",,
C,A person who has not made peace with his losses is likely to accept gambles that would be unacceptable to him otherwise.,,
D,A person who has 'tidied up' has both the words and a tidy area to show for it. It is much harder to find a word that describes the giving-up-things mode of attention a mother is giving to her baby.,,
E,a person who is arrogant is also ignorant!,,
F,"A person who is knowingly bent on bad behavior, gets upset when betterbehavior is expected of them.",,
A,"A person who is nice to you, but rude to the waiter, is not a nice person.",,
B,A person who is young at heart and brimming with enthusiasm brings a fresh summer breeze with them to every hell-hole they visit.,,
C,A person who longs to leave the place where he lives is an unhappy person.,,
D,A person who never suffers has no chance to become strong in mind and body. ~ Tochan Sayo,,
A,A person who publishes a book appears willfully in public eye with his pants down.,,
B,A person who publishes a book willfully appears before the populace with his pants down. If it is a good book nothing can hurt him. If it is a bad book nothing can help him.,,
C,"A person who says ""it's your decision"" is informing you that your decision sucks.",,
D,"A person who searched rooms, brandished pistols, dangled promises of half a million franc fees for nameless services and then wrote instructions to Polish spies might reasonably be regarded with suspicion. But suspicion of what?",,
E,A person who thought he knew everything simply didn't understand how much there was to know.,,
F,"A person who will not take care of the little things will not take care of the big things, for big things are but an accumulation of little things.",,
A,A person who's going to be famous usually drops a few clues by the time they're twenty-one.,,
B,A person who's happy will make others happy; a person who has courage and faith will never die in misery!,,
C,"A person will buy something they really don't need off of a salesperson they really like before they buy something they desperately need off of someone they despise.""... Johnny Flora",,
D,A person with a new idea is a crank until the idea succeeds.,,
E,"A pesemist sees the difficulty in every oppertunity, but a optamist sees the oppertunity in every difficuty",,
F,"A person without a sense of humor is like a wagon without springs, jolted by every pebble in the road.",,
A,A person you excuse from any genuine challenge is a person you do not truly respect.,,
B,"A person, be it a man or a woman, who has not been exposed to the great wonders of literature, must be intolerably stupid.",,
C,"A person, who no matter how desperate the situation, gives others hope, is a true leader.",,
D,A personality for the incredibly beautiful can be a pointless cargo...,,
E,"A person's a person, no matter how small.",,
F,"A person's actions could be interpreted in a number of ways, depending on who was watching. Their viewpoints were simply skewed by their beliefs, their prejudices, and their private desires. Their personal kaleidoscopes. I couldn't judge them, of course. I was the same way.",,
A,"A person's birthday should be a special day, a wonderful day, a day of pure celebration for the luck of being born!",,
B,"A person's character, I realize, is never black-and-white. There is so much gray.",,
C,"A person's destiny is something you look back at afterwards, not something to be known in advance.",,
D,A person's ethics and character are not tested in good times. It is only in bad times that a person shows how steadfast he is to his dharma.,,
A,"A person's eyes, they could tell you everything.",,
B,"A person's favorite word is brother, because he or she can relate to it. I love it because we value most in life the things we do not have.",,
C,"A person's got to think, otherwise that person's no better than a trained seal balancing a ball on his nose. If only that seal could think, he'd know he was making a thousand children laugh.",,
D,A person's heart is a disgusting thing. You almost can't look at it.,,
E,A person's last moments are an important thing. You can't choose how you're born but you can choose how you die.,,
F,"A person's life purpose is nothing more than to rediscover, through the detours of art or love or passionate work, those one or two images in the presence of which his heart first opened.",,
A,A person's memories and their actual experiences are surprisingly different. Sometimes the gap between them causes pain. But the memories that make the biggest impression are always changing. So it's okay.,,
B,"A person's memory is everything, really. Memory is identity. It's you.",,
C,"A person's never too old for stories. Man and boy, girl and woman, we live for them. - Roland Deschain",,
D,"A person's rightful due is to be treated as an object of love, not as an object for use.",,
E,A person's soul is bigger than his body. It takes root and lives in all who love him.,,
F,A person's strength is to know their weaknesses.,,
A,A person's success in life can usually be measured by the number of uncomfortable conversations he or she is willing to have.,,
B,A person's true nature is revealed at times of the greatest adversity.,,
C,A person's value is attached to a variable exponent.,,
D,"A persuadable temper might sometimes be as much in favor of happiness, as a very resolute character.",,
E,"A pervasive sense of shame is the ongoing premise that one is fundamentally bad, inadequate, defective, unworthy, or not fully valid as a human being.",,
F,"A perverse nature can be stimulated by anything. Any book can be used as a pornographic instrument, even a great work of literature if the mind that so uses it is off-balance. I once found a small boy masturbating in the presence of the Victorian steel-engraving in a family Bible.",,
A,A perversion must be baptized and patronized (the Marquis De Sade and Leopold Von Sacher-Masoch were on to something).,,
B,A pervert is anybody kinkier than you are,,
C,"A philosopher once asked, "" Are we human because we gaze at the stars, or do we gaze at them because we are human?"" Pointless, really..."" Do the stars gaze back?"" Now, that's a question.",,
D,A pessimist is a man who looks both ways when he crosses the street.,,
A,A pessimist is a man who thinks all women are bad. An optimist is a man who hopes they are.,,
B,"A pessimist is a man who thinks everybody is as nasty as himself, and hates them for it.",,
C,A pessimist is a person who has had to listen to too many optimists.,,
D,A pessimist is one who makes difficulties of his opportunities and an optimist is one who makes opportunities of his difficulties.,,
E,A pessimist is somebody who complains about the noise when opportunity knocks.,,
F,"A pessimist sees only the dark side of the clouds, and mopes; a philosopher sees both sides, and shrugs; an optimist doesn't see the clouds at all - he's walking on them.",,
A,A pet rock is a serious commitment and too much responsibility for a ten year old to handle on his own,,
B,A petty concern with mere evidence is an antiquated and bourgeois feature of the captalist legal system. We are revolutionaries. We convict from a revolutionary passion.,,
C,A phenomenon must be to some extent comprehensible to be perceived at all.,,
D,A philosopher knows that in reality he knows very little. That is why he constantly strives to achieve true insight. Socrates was one of these rare people. He knew that he knew nothing about life and about the world. And now comes the important part: it troubled him that he knew so little.,,
E,"A picture held us captive. And we could not get outside it, for it lay in our language and language seemed to repeat it to us inexorably.",,
F,"A philosopher once said ' Are we human because we gaze at the stars, or do we gaze at them because we are human? Pointless, really. Do the stars gaze back? Now, THAT's a question.",,
A,A philosopher who uses his professional competence for anything other except a disinterested search for truth is guilty of a kind of treachery.,,
B,"A philosophy may explain difficult things, but has no power to change them. The gospel, the story of Jesus' life, promises change.",,
C,"A philosophy professor at my college, whose baby became enamored of the portrait of David Hume on a Penguin paperback, had the cover laminated in plastic so her daughter could cut her teeth on the great thinker.",,
D,"A phone number is like the combination to a safe, isn't it? I figured you gave me yours because you wanted me to crack it open, and it would be a shame to let it go to waste! ( Brian to Candace)",,
E,"A photo says, you were happy, and I wanted to catch that. A photo says, you were so important to me that I put down everything else to come watch.",,
F,A photograph can be an instant of life captured for eternity that will never cease looking back at you.,,
A,A photograph is a moral decision taken in one eighth of a second. ,,
B,"A photograph is a secret about a secret. The more it tells you, the less you know.",,
C,A photograph is usually looked at- seldom looked into.,,
D,A photograph of a woman crying tells me nothing about grief. Or a photograph of a woman ecstatic tells me nothing about ecstasy. What is the nature of these emotions? The problem with photography is that it only deals with appearances.,,
